"Name";"DisplayName";"Description";"Group";"Enabled";"Profile";"Platform";"Direction";"Action";"EdgeTraversalPolicy";"LooseSourceMapping";"LocalOnlyMapping";"Owner";"LocalAddress";"RemoteAddress";"Protocol";"LocalPort";"RemotePort";"IcmpType";"DynamicTarget";"Program";"Package";"Service";"InterfaceAlias";"InterfaceType";"LocalUser";"RemoteUser";"RemoteMachine";"Authentication";"Encryption";"OverrideBlockRules"
"{986BB3DD-BA39-4373-A7E7-BEF44E07DDF4}";"Networking - Echo Request (ICMPv4-In)";"Echo Request messages are sent as ping requests to other nodes.";;"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"8";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{51E1B717-D486-4BAC-9E23-E532ADF40179}";"Networking - Echo Request (ICMPv6-In)";"Echo Request messages are sent as ping requests to other nodes.";;"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"128";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{7473BBD4-D845-45AE-8A2A-241EE8441B72}";"Networking - Router Solicitation (ICMPv4-In)";"Router Solicitation messages are sent by nodes seeking routers to provide stateless auto-configuration.";;"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"9";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{1AB96E88-93AD-4B41-8E6B-D6DA1AA9CB78}";"Networking - Timestamp Request (ICMPv4-In)";"Timestamp Request messages are sent by nodes who wish to obtain the current timestamp from another node.";;"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"13";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{6D59DEB5-4E5B-4537-A5B0-71225E1F99C6}";"Remote Administration (RPC)";"Inbound rule for all services to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-29752";"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"*";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{A59664EC-726A-417F-A7D8-1C8FF22201FD}";"Remote Administration (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for all the local services.";"@FirewallAPI.dll,-29752";"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"135";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{B82518A0-7D98-431A-8F5E-F8DFC87303F8}";"Remote Administration (NP-In)";"Inbound rule for all services to be remotely managed over Named Pipes.";"@FirewallAPI.dll,-29752";"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"445";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WINRM-HTTP-In-TCP";"Windows Remote Management (HTTP-In)";"Inbound rule for Windows Remote Management via WS-Management. [TCP 5985]";"@FirewallAPI.dll,-30267";"True";"Domain, Private";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"5985";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WINRM-HTTP-In-TCP-NoScope";"Windows Remote Management (HTTP-In)";"Inbound rule for Windows Remote Management via WS-Management. [TCP 5985]";"@FirewallAPI.dll,-30267";"True";"Domain, Private";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"5985";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteTask-RPCSS-In-TCP";"Remote Scheduled Tasks Management (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for the Task Scheduler service.";"@FirewallAPI.dll,-33252";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPCEPMap";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteTask-In-TCP";"Remote Scheduled Tasks Management (RPC)";"Inbound rule for the Task Scheduler service to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-33252";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"schedule";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WMI-ASYNC-In-TCP";"Windows Management Instrumentation (ASync-In)";"Inbound rule to allow Asynchronous WMI traffic for remote Windows Management Instrumentation. [TCP]";"@FirewallAPI.dll,-34251";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\wbem\unsecapp.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WMI-WINMGMT-In-TCP";"Windows Management Instrumentation (WMI-In)";"Inbound rule to allow WMI traffic for remote Windows Management Instrumentation. [TCP]";"@FirewallAPI.dll,-34251";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"winmgmt";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WMI-RPCSS-In-TCP";"Windows Management Instrumentation (DCOM-In)";"Inbound rule to allow DCOM traffic for remote Windows Management Instrumentation. [TCP 135]";"@FirewallAPI.dll,-34251";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"135";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"rpcss";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteDesktop-Shadow-In-TCP";"Remote Desktop - Shadow (TCP-In)";"Inbound rule for the Remote Desktop service to allow shadowing of an existing Remote Desktop session. (TCP-In)";"@FirewallAPI.dll,-28752";"True";"Any";"";"Inbound";"Allow";"DeferToApp";"False";"False";;"Any";"Any";"TCP";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\RdpSa.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteDesktop-UserMode-In-UDP";"Remote Desktop - User Mode (UDP-In)";"Inbound rule for the Remote Desktop service to allow RDP traffic. [UDP 3389]";"@FirewallAPI.dll,-28752";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"3389";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"termservice";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteDesktop-UserMode-In-TCP";"Remote Desktop - User Mode (TCP-In)";"Inbound rule for the Remote Desktop service to allow RDP traffic. [TCP 3389]";"@FirewallAPI.dll,-28752";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"3389";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"termservice";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-LLMNR-In-UDP";"File and Printer Sharing (LLMNR-UDP-In)";"Inbound rule for File and Printer Sharing to allow Link Local Multicast Name Resolution. [UDP 5355]";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"5355";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dnscache";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-ICMP6-ERQ-In";"File and Printer Sharing (Echo Request - ICMPv6-In)";"Echo Request messages are sent as ping requests to other nodes.";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"128";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-ICMP4-ERQ-In";"File and Printer Sharing (Echo Request - ICMPv4-In)";"Echo Request messages are sent as ping requests to other nodes.";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet4";"ICMPv4";"RPC";"Any";"8";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-RPCSS-In-TCP";"File and Printer Sharing (Spooler Service - RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for the Spooler Service.";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPCEPMap";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"Rpcss";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-SpoolSvc-In-TCP";"File and Printer Sharing (Spooler Service - RPC)";"Inbound rule for File and Printer Sharing to allow the Print Spooler Service to communicate via TCP/RPC.";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\spoolsv.exe";;"Spooler";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-NB_Datagram-In-UDP";"File and Printer Sharing (NB-Datagram-In)";"Inbound rule for File and Printer Sharing to allow NetBIOS Datagram transmission and reception. [UDP 138]";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"138";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-NB_Name-In-UDP";"File and Printer Sharing (NB-Name-In)";"Inbound rule for File and Printer Sharing to allow NetBIOS Name Resolution. [UDP 137]";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"137";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-SMB-In-TCP";"File and Printer Sharing (SMB-In)";"Inbound rule for File and Printer Sharing to allow Server Message Block transmission and reception via Named Pipes. [TCP 445]";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"445";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-NB_Session-In-TCP";"File and Printer Sharing (NB-Session-In)";"Inbound rule for File and Printer Sharing to allow NetBIOS Session Service connections. [TCP 139]";"@FirewallAPI.dll,-28502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"139";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WINRM-HTTP-In-TCP-PUBLIC";"Windows Remote Management (HTTP-In)";"Inbound rule for Windows Remote Management via WS-Management. [TCP 5985]";"@FirewallAPI.dll,-30267";"True";"Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"5985";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteSvcAdmin-RPCSS-In-TCP";"Remote Service Management (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for the local Service Control Manager.";"@FirewallAPI.dll,-29502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPCEPMap";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteSvcAdmin-NP-In-TCP";"Remote Service Management (NP-In)";"Inbound rule for the local Service Control Manager to be remotely managed over Named Pipes.";"@FirewallAPI.dll,-29502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"445";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteSvcAdmin-In-TCP";"Remote Service Management (RPC)";"Inbound rule for the local Service Control Manager to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-29502";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\services.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteEventLogSvc-NP-In-TCP-NoScope";"Remote Event Log Management (NP-In)";"Inbound rule for the local Event Log service to be remotely managed over Named Pipes.";"@FirewallAPI.dll,-29252";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"445";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WFDPRINT-SPOOL-In-Active";"Wi-Fi Direct Spooler Use (In)";"Inbound rule to use WSD printers on Wi-Fi Direct networks.";"@FirewallAPI.dll,-36851";"True";"Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"Any";"Any";"Any";"Any";"WifiDirectPrinting";"%SystemRoot%\system32\spoolsv.exe";;"Spooler";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteTask-In-TCP-NoScope";"Remote Scheduled Tasks Management (RPC)";"Inbound rule for the Task Scheduler service to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-33252";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"schedule";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-RPCSS-In-TCP-NoScope";"File and Printer Sharing (Spooler Service - RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for the Spooler Service.";"@FirewallAPI.dll,-28502";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"RPCEPMap";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"Rpcss";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
